Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
dpvacm.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:10 WEST","2013-10-24 15:49:10 WEST","2008-04-14 13:00:00 WEST",21504,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/dpvacm.dll.new",,,application/x-msdownload,new
dsprop.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:10 WEST","2013-10-24 15:49:10 WEST","2008-04-14 13:00:00 WEST",142848,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/dsprop.dll.new",,,application/x-msdownload,new
dwil1033.dll,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/dwil1033.dll",,,application/octet-stream,dll
dxtrans.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:11 WEST","2013-10-24 15:49:11 WEST","2008-04-14 13:00:00 WEST",205312,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/dxtrans.dll.new",,,application/x-msdownload,new
esent97.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:11 WEST","2013-10-24 15:49:11 WEST","2008-04-14 13:00:00 WEST",1114896,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/esent97.dll.new",,,application/x-msdownload,new
evcreate.exe,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/evcreate.exe",,,application/octet-stream,exe
exe2bin.exe.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:12 WEST","2013-10-24 15:49:11 WEST","2008-04-14 13:00:00 WEST",8424,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/exe2bin.exe.new",,,application/x-msdownload,new
find.exe.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:12 WEST","2013-10-24 15:49:12 WEST","2008-04-14 13:00:00 WEST",9216,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/find.exe.new",,,application/x-msdownload,new
fxstiff.dll,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/fxstiff.dll",,,application/octet-stream,dll
gpupdate.exe.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:14 WEST","2013-10-24 15:49:14 WEST","2008-04-14 13:00:00 WEST",57344,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/gpupdate.exe.new",,,application/x-msdownload,new
grpconv.exe,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/grpconv.exe",,,application/octet-stream,exe
hidphone.tsp.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:16 WEST","2013-10-24 15:49:15 WEST","2008-04-14 13:00:00 WEST",29696,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/hidphone.tsp.new",,,application/x-msdownload,new
icwrmind.exe,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/icwrmind.exe",,,application/octet-stream,exe
icwtutor.exe.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:24 WEST","2013-10-24 15:49:24 WEST","2013-10-24 15:47:25 WEST",73728,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/icwtutor.exe.new",,,application/x-msdownload,new
igmpagnt.dll,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/igmpagnt.dll",,,application/octet-stream,dll
iis.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:24 WEST","2013-10-24 15:49:24 WEST","2008-04-14 13:00:00 WEST",505344,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/iis.dll.new",,,application/x-msdownload,new
imagehlp.dll,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/imagehlp.dll",,,application/octet-stream,dll
imjpinst.exe,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/imjpinst.exe",,,application/octet-stream,exe
inseng.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:27 WEST","2013-10-24 15:49:27 WEST","2008-04-14 13:00:00 WEST",96256,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/inseng.dll.new",,,application/x-msdownload,new
ipconfig.exe,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/ipconfig.exe",,,application/octet-stream,exe
ipsecsvc.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:27 WEST","2013-10-24 15:49:27 WEST","2008-04-14 13:00:00 WEST",183808,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/ipsecsvc.dll.new",,,application/x-msdownload,new
ipxmontr.dll,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/ipxmontr.dll",,,application/octet-stream,dll
